Timestamp,BatteryPercent,Discharging
1760844518,20,Yes
1760844518,20,Yes
1760844518,20,Yes
1760844523,20,Yes
1760844523,20,Yes
1760844523,20,Yes
1760844523,20,Yes
1760844523,20,Yes
1760844523,20,Yes
1760844528,20,Yes
1760844528,20,Yes
1760844528,20,Yes
1760844533,20,Yes
1760844533,20,Yes
1760844533,20,Yes
1760844533,20,Yes
1760844533,20,Yes
1760844533,20,Yes
1760844538,20,Yes
1760844538,20,Yes
1760844538,20,Yes
1760844543,20,Yes
1760844543,20,Yes
1760844543,20,Yes
1760844543,20,Yes
1760844543,20,Yes
1760844543,20,Yes
1760844548,20,Yes
1760844548,20,Yes
1760844548,20,Yes
1760844553,20,Yes
1760844553,20,Yes
1760844553,20,Yes
1760844553,20,Yes
1760844553,20,Yes
1760844553,20,Yes
1760844558,20,Yes
1760844558,20,Yes
1760844558,20,Yes
1760844563,19,Yes
1760844563,19,Yes
1760844563,19,Yes
1760844563,19,Yes
1760844563,19,Yes
1760844563,19,Yes
1760844568,19,Yes
1760844568,19,Yes
1760844568,19,Yes
1760844573,19,Yes
1760844573,19,Yes
1760844573,19,Yes
1760844573,19,Yes
1760844573,19,Yes
1760844573,19,Yes
1760844578,19,Yes
1760844578,19,Yes
1760844578,19,Yes
1760844583,19,Yes
1760844583,19,Yes
1760844583,19,Yes
1760844583,19,Yes
1760844583,19,Yes
1760844583,19,Yes
1760844588,19,Yes
1760844588,19,Yes
1760844588,19,Yes
1760844593,19,Yes
1760844593,19,Yes
1760844593,19,Yes
1760844593,19,Yes
1760844593,19,Yes
1760844593,19,Yes
1760844598,19,Yes
1760844598,19,Yes
1760844598,19,Yes
1760844603,19,Yes
1760844603,19,Yes
1760844603,19,Yes
1760844603,19,Yes
1760844603,19,Yes
1760844603,19,Yes
1760844608,19,Yes
1760844608,19,Yes
1760844608,19,Yes
1760844613,19,Yes
1760844613,19,Yes
1760844613,19,Yes
1760844613,19,Yes
1760844613,19,Yes
1760844613,19,Yes
1760844618,19,Yes
1760844618,19,Yes
1760844618,19,Yes
1760844623,18,Yes
1760844623,18,Yes
1760844623,18,Yes
1760844623,18,Yes
1760844623,18,Yes
1760844623,18,Yes
1760844628,18,Yes
1760844628,18,Yes
1760844628,18,Yes
1760844633,18,Yes
1760844633,18,Yes
1760844633,18,Yes
1760844633,18,Yes
1760844633,18,Yes
1760844633,18,Yes
1760844638,18,Yes
1760844638,18,Yes
1760844638,18,Yes
1760844643,18,Yes
1760844643,18,Yes
1760844643,18,Yes
1760844643,18,Yes
1760844643,18,Yes
1760844643,18,Yes
1760844648,18,Yes
1760844648,18,Yes
1760844648,18,Yes
1760844653,18,Yes
1760844653,18,Yes
1760844653,18,Yes
1760844653,18,Yes
1760844653,18,Yes
1760844653,18,Yes
1760844658,18,Yes
1760844658,18,Yes
1760844658,18,Yes
1760844663,18,Yes
1760844663,18,Yes
1760844663,18,Yes
1760844663,18,Yes
1760844663,18,Yes
1760844663,18,Yes
1760844668,18,Yes
1760844668,18,Yes
1760844668,18,Yes
1760844673,18,Yes
1760844673,18,Yes
1760844673,18,Yes
1760844673,18,Yes
1760844673,18,Yes
1760844673,18,Yes
1760844678,18,Yes
1760844678,18,Yes
1760844678,18,Yes
1760844683,17,Yes
1760844683,17,Yes
1760844683,17,Yes
1760844683,17,Yes
1760844683,17,Yes
1760844683,17,Yes
1760844688,17,Yes
1760844688,17,Yes
1760844688,17,Yes
1760844693,17,Yes
1760844693,17,Yes
1760844693,17,Yes
1760844693,17,Yes
1760844693,17,Yes
1760844693,17,Yes
1760844698,17,Yes
1760844698,17,Yes
1760844698,17,Yes
1760844703,17,Yes
1760844703,17,Yes
1760844703,17,Yes
1760844703,17,Yes
1760844703,17,Yes
1760844703,17,Yes
1760844708,17,Yes
1760844708,17,Yes
1760844708,17,Yes
1760844713,17,Yes
1760844713,17,Yes
1760844713,17,Yes
1760844713,17,Yes
1760844713,17,Yes
1760844713,17,Yes
1760844718,17,Yes
1760844719,17,Yes
1760844719,17,Yes
1760844724,17,Yes
1760844724,17,Yes
1760844724,17,Yes
1760844724,17,Yes
1760844724,17,Yes
1760844724,17,Yes
1760844729,17,Yes
1760844729,17,Yes
1760844729,17,Yes
1760844734,17,Yes
1760844734,17,Yes
1760844734,17,Yes
1760844734,17,Yes
1760844734,17,Yes
1760844734,17,Yes
1760844739,17,Yes
1760844739,17,Yes
1760844739,17,Yes
1760844744,16,Yes
1760844744,16,Yes
1760844744,16,Yes
1760844744,16,Yes
1760844744,16,Yes
1760844744,16,Yes
1760844749,16,Yes
1760844749,16,Yes
1760844749,16,Yes
1760844754,16,Yes
1760844754,16,Yes
1760844754,16,Yes
1760844754,16,Yes
1760844754,16,Yes
1760844754,16,Yes
1760844759,16,Yes
1760844759,16,Yes
1760844759,16,Yes
1760844764,16,Yes
1760844764,16,Yes
1760844764,16,Yes
1760844764,16,Yes
1760844764,16,Yes
1760844764,16,Yes
1760844769,16,Yes
1760844769,16,Yes
1760844769,16,Yes
1760844774,16,Yes
1760844774,16,Yes
1760844774,16,Yes
1760844774,16,Yes
1760844774,16,Yes
1760844774,16,Yes
1760844779,16,Yes
1760844779,16,Yes
1760844779,16,Yes
1760844784,16,Yes
1760844784,16,Yes
1760844784,16,Yes
1760844784,16,Yes
1760844784,16,Yes
1760844784,16,Yes
1760844789,16,Yes
1760844789,16,Yes
1760844789,16,Yes
1760844794,16,Yes
1760844794,16,Yes
1760844794,16,Yes
1760844794,16,Yes
1760844794,16,Yes
1760844794,16,Yes
1760844799,16,Yes
1760844799,16,Yes
1760844799,16,Yes
1760844804,16,Yes
1760844804,16,Yes
1760844804,16,Yes
1760844804,16,Yes
1760844804,16,Yes
1760844804,16,Yes
1760844809,16,Yes
1760844809,16,Yes
1760844809,16,Yes
1760844814,15,Yes
1760844814,15,Yes
1760844814,15,Yes
1760844814,15,Yes
1760844814,15,Yes
1760844814,15,Yes
1760844819,15,Yes
1760844819,15,Yes
1760844819,15,Yes
1760844824,15,Yes
1760844824,15,Yes
1760844824,15,Yes
1760844824,15,Yes
1760844824,15,Yes
1760844824,15,Yes
1760844829,15,Yes
1760844829,15,Yes
1760844829,15,Yes
1760844834,15,Yes
1760844834,15,Yes
1760844834,15,Yes
1760844834,15,Yes
1760844834,15,Yes
1760844834,15,Yes
1760844839,15,Yes
1760844839,15,Yes
1760844839,15,Yes
1760844844,15,Yes
1760844844,15,Yes
